city1,city2,start,end,carrier_lg
"Little Rock, AR","Washington, DC (Metropolitan Area)",2013-04-01,2013-07-01,WN
"Little Rock, AR","Washington, DC (Metropolitan Area)",2013-07-01,2014-07-01,DL
"Little Rock, AR","Washington, DC (Metropolitan Area)",2014-07-01,2015-01-01,WN
"Little Rock, AR","Washington, DC (Metropolitan Area)",2015-01-01,2015-04-01,DL
"Little Rock, AR","Washington, DC (Metropolitan Area)",2015-04-01,2016-01-01,WN
"Little Rock, AR","Washington, DC (Metropolitan Area)",2016-01-01,2018-04-01,DL
"Little Rock, AR","Washington, DC (Metropolitan Area)",2018-04-01,2018-07-01,AA
"Los Angeles, CA (Metropolitan Area)","Tucson, AZ",2008-01-01,2018-07-01,WN
"Atlanta, GA (Metropolitan Area)","Fort Myers, FL",2008-01-01,2013-10-01,DL
"Atlanta, GA (Metropolitan Area)","Fort Myers, FL",2013-10-01,2014-04-01,FL
"Atlanta, GA (Metropolitan Area)","Fort Myers, FL",2014-04-01,2018-07-01,DL
"Des Moines, IA","Los Angeles, CA (Metropolitan Area)",2008-01-01,2010-01-01,UA
"Des Moines, IA","Los Angeles, CA (Metropolitan Area)",2010-01-01,2010-04-01,G4
"Des Moines, IA","Los Angeles, CA (Metropolitan Area)",2010-04-01,2010-07-01,UA
"Des Moines, IA","Los Angeles, CA (Metropolitan Area)",2010-07-01,2010-10-01,G4
"Des Moines, IA","Los Angeles, CA (Metropolitan Area)",2010-10-01,2011-01-01,UA
"Des Moines, IA","Los Angeles, CA (Metropolitan Area)",2011-01-01,2011-04-01,G4
"Des Moines, IA","Los Angeles, CA (Metropolitan Area)",2011-04-01,2011-07-01,AA
"Des Moines, IA","Los Angeles, CA (Metropolitan Area)",2011-07-01,2014-07-01,UA
"Des Moines, IA","Los Angeles, CA (Metropolitan Area)",2014-07-01,2014-10-01,G4
"Des Moines, IA","Los Angeles, CA (Metropolitan Area)",2014-10-01,2015-04-01,UA
"Des Moines, IA","Los Angeles, CA (Metropolitan Area)",2015-04-01,2015-07-01,US
"Des Moines, IA","Los Angeles, CA (Metropolitan Area)",2015-07-01,2016-01-01,AA
"Des Moines, IA","Los Angeles, CA (Metropolitan Area)",2016-01-01,2016-07-01,UA
"Des Moines, IA","Los Angeles, CA (Metropolitan Area)",2016-07-01,2016-10-01,AA
"Des Moines, IA","Los Angeles, CA (Metropolitan Area)",2016-10-01,2017-07-01,UA
