"","AIDS.Report.Number","Aircraft.Damage","Primary.Flight.Type"
"36847","19890201029929I","MINOR","PERSONAL"
"36848","19890919053489I","MINOR","AIR TAXI"
"36849","19960514018089I","MINOR","PERSONAL"
"36850","19890109021449I","MINOR","AIR TAXI"
"36851","20070310005619I","MINOR","PERSONAL"
"36852","19950719031639I","MINOR","SCHEDULED AIR CARRIER"
"36853","20040612013589I","MINOR","PERSONAL"
"36854","19921222052719I","MINOR","PERSONAL"
"36855","19980320024149I","MINOR","SCHEDULED AIR CARRIER"
"36856","19910222007049I","MINOR","PERSONAL"
"36857","19890122053199I","MINOR","PERSONAL"
"36858","19890320024459I","MINOR","PERSONAL"
"36859","19890416029459I","MINOR","PERSONAL"
"36860","19890428045579I","MINOR","PERSONAL"
"36861","19890601031989I","MINOR","PERSONAL"
"36862","19890822046239I","MINOR","PERSONAL"
"36863","19890904057119I","MINOR","PERSONAL"
"36864","19891119053799I","MINOR","PERSONAL"
"36865","19891204064499I","MINOR","AIR TAXI"
"36866","19900511045939I","MINOR","PERSONAL"
"36867","19900612031349I","MINOR","PERSONAL"
"36868","19900617022819I","MINOR","BUSINESS"
"36869","19900625043489I","MINOR","AIR TAXI"
"36870","19900626039159I","MINOR","AIR TAXI"
"36871","19900822050039I","MINOR","PERSONAL"
"36872","19901010054579I","DESTROYED","PERSONAL"
"36873","19901018046129I","MINOR","AIR TAXI"
"36874","19910306007059I","MINOR","PERSONAL"
"36875","19910316009949I","MINOR","PERSONAL"
"36876","19910327013179I","MINOR","PERSONAL"
"36877","19910506019019I","MINOR","PERSONAL"
"36878","19910507037759I","MINOR","AIR TAXI"
"36879","19910723045799I","MINOR","PERSONAL"
"36880","19910727043869I","MINOR","PERSONAL"
"36881","19910731049049I","MINOR","PERSONAL"
"36882","19910802031269I","MINOR","PERSONAL"
"36883","19910901042869I","MINOR","AIR TAXI"
"36884","19911008059279I","MINOR","PERSONAL"
"36885","19911018051029I","MINOR","AIR TAXI"
"36886","19911102060349I","MINOR","PERSONAL"
"36887","19911115056929I","MINOR","PERSONAL"
"36888","19911203058919I","MINOR","SCHEDULED AIR CARRIER"
"36889","19920127006489I","MINOR","PERSONAL"
"36890","19920311020909I","MINOR","PERSONAL"
"36891","19920414014869I","MINOR","PERSONAL"
"36892","19920421036029I","MINOR","PERSONAL"
"36893","19920620026439I","MINOR","PERSONAL"
"36894","19920621021329I","MINOR","PERSONAL"
"36895","19920630025309I","MINOR","AIR TAXI"
"36896","19920706027079I","MINOR","PERSONAL"
"36897","19930105002809I","MINOR","AIR TAXI"
"36898","19930129008719I","MINOR","AIR TAXI"
"36899","19930213004009I","MINOR","PERSONAL"
"36900","19930214009889I","MINOR","PERSONAL"
"36901","19930216006029I","MINOR","AIR TAXI"
"36902","19930417026399I","MINOR","PERSONAL"
"36903","19930424016439I","MINOR","PERSONAL"
"36904","19930504021189I","MINOR","AIR TAXI"
"36905","19930602016419I","MINOR","PERSONAL"
"36906","19930826037999I","MINOR","PERSONAL"
"36907","19930908039229I","MINOR","AIR TAXI"
"36908","19931010041509I","MINOR","PERSONAL"
"36909","19940119004449I","MINOR","BUSINESS"
"36910","19940124016109I","MINOR","PERSONAL"
"36911","19940219009779I","MINOR","PERSONAL"
"36912","19940227007149I","MINOR","PERSONAL"
"36913","19940918042739I","MINOR","PERSONAL"
"36914","19940919039749I","MINOR","BUSINESS"
"36915","19940926037279I","MINOR","BUSINESS"
"36916","19950120008799I","MINOR","AIR TAXI"
"36917","19950216006929I","MINOR","AIR TAXI"
"36918","19950219014129I","MINOR","PERSONAL"
"36919","19950329009479I","MINOR","BUSINESS"
"36920","19950407010279I","MINOR","PERSONAL"
"36921","19950407013389I","MINOR","BUSINESS"
"36922","19950614027279I","MINOR","PERSONAL"
"36923","19950616026609I","MINOR","PERSONAL"
"36924","19950701016129I","MINOR","PERSONAL"
"36925","19950805029339I","MINOR","PERSONAL"
"36926","19950905040819I","MINOR","PERSONAL"
"36927","19951021033779I","MINOR","PERSONAL"
"36928","19951023038809I","MINOR","AIR TAXI"
"36929","19951115040619I","MINOR","AIR TAXI"
"36930","19951117041929I","MINOR","BUSINESS"
"36931","19960108001349I","MINOR","PERSONAL"
"36932","19960208003239I","MINOR","PERSONAL"
"36933","19960505009399I","MINOR","PERSONAL"
"36934","19960621021351I","MINOR","PERSONAL"
"36935","19970206008571I","MINOR","AIR TAXI"
"36936","19970304002069I","MINOR","PERSONAL"
"36937","19970310004159I","MINOR","PERSONAL"
"36938","19970314007239I","MINOR","PERSONAL"
"36939","19970404005009I","MINOR","PERSONAL"
"36940","19970405013189I","MINOR","PERSONAL"
"36941","19970605013519I","MINOR","BUSINESS"
"36942","19970721027869I","MINOR","PERSONAL"
"36943","19970905036269I","MINOR","PERSONAL"
"36944","19970925033239I","MINOR","PERSONAL"
"36945","19971105041429I","MINOR","PERSONAL"
"36946","19980925037679I","MINOR","PERSONAL"
"36947","19981028041309I","MINOR","AIR TAXI"
"36948","19990215012569I","MINOR","PERSONAL"
"36949","19990418015159I","MINOR","PERSONAL"
"36950","20000623034099I","MINOR","AIR TAXI"
"36951","20010311006429I","MINOR","PERSONAL"
"36952","20010625020869I","MINOR","PERSONAL"
"36953","20011127034749I","MINOR","PERSONAL"
"36954","20011226036029I","MINOR","PERSONAL"
"36955","20020330013359I","MINOR","PERSONAL"
"36956","20020517011269I","MINOR","PERSONAL"
"36957","20020610013849I","SUBSTANTIAL","AIR TAXI"
"36958","20020705025459I","MINOR","PERSONAL"
"36959","20020825024069I","MINOR","PERSONAL"
"36960","20030202009269I","MINOR","AIR TAXI"
"36961","20030424006559I","MINOR","PERSONAL"
"36962","20030501007079I","MINOR","PERSONAL"
"36963","20030927026769I","MINOR","PERSONAL"
"36964","20031227034529I","MINOR","PERSONAL"
"36965","20040421010889I","MINOR","AIR TAXI"
"36966","20040722017229I","MINOR","PERSONAL"
"36967","20040822021659I","MINOR","PERSONAL"
"36968","20040910025189I","MINOR","AIR TAXI"
"36969","20040912021649I","MINOR","AIR TAXI"
"36970","20050325004999I","MINOR","PERSONAL"
"36971","20050703033179I","MINOR","PERSONAL"
"36972","20050922030089I","MINOR","PERSONAL"
"36973","20051026026989I","MINOR","AIR TAXI"
"36974","20051111027589I","MINOR","PERSONAL"
"36975","20070302002849I","MINOR","PERSONAL"
"36976","20070717013839I","MINOR","PERSONAL"
"36977","20050619013269I","MINOR","PERSONAL"
"36978","19890831057019I","MINOR","AIR TAXI"
"36979","19921103044789I","MINOR","AIR TAXI"
"36980","19970812030199I","MINOR","PERSONAL"
"36981","20000728025669I","MINOR","PERSONAL"
"36982","19890813050289I","MINOR","PERSONAL"
"36983","20000611035039I","MINOR","SCHEDULED AIR CARRIER"
"36984","19890112000419I","MINOR","PERSONAL"
"36985","20021123037239I","MINOR","PERSONAL"
"36986","19890226008689I","MINOR","PERSONAL"
"36987","19950326012529I","MINOR","PERSONAL"
"36988","19970724033639I","MINOR","PERSONAL"
"36989","19971008030479I","MINOR","AIR TAXI"
"36990","19980921032659I","SUBSTANTIAL","PERSONAL"
"36991","19970508012999I","MINOR","AIR TAXI"
"36992","19931013041969I","MINOR","AIR TAXI"
"36993","19961215042739I","MINOR","PERSONAL"
"36994","19911023054749I","MINOR","BUSINESS"
"36995","19991001032849I","MINOR","SCHEDULED AIR CARRIER"
"36996","19890609034749I","MINOR","PERSONAL"
"36997","19890829056739I","MINOR","AIR TAXI"
"36998","19891219065159I","MINOR","AIR TAXI"
"36999","19900124001039I","MINOR","AIR TAXI"
"37000","19910308011879I","SUBSTANTIAL","BUSINESS"
"37001","19910412018299I","MINOR","AIR TAXI"
"37002","19920723036289I","MINOR","PERSONAL"
"37003","19940118004239I","MINOR","AIR TAXI"
"37004","19941030036849I","MINOR","AIR TAXI"
"37005","19950113006709I","MINOR","PERSONAL"
"37006","19950315008359I","MINOR","PERSONAL"
"37007","19960705021159I","MINOR","AIR TAXI"
"37008","19960721022929I","MINOR","AIR TAXI"
"37009","19960903033359I","MINOR","PERSONAL"
"37010","19980501014709I","MINOR","AIR TAXI"
"37011","19980805029099I","MINOR","PERSONAL"
"37012","19990319016519I","MINOR","PERSONAL"
"37013","19991122030829I","MINOR","PERSONAL"
"37014","20000902026719I","SUBSTANTIAL","PERSONAL"
"37015","20020129001509I","MINOR","PERSONAL"
"37016","20020522013479I","MINOR","AIR TAXI"
"37017","20030108006839I","MINOR","PERSONAL"
"37018","20030324009009I","MINOR","PERSONAL"
"37019","20030424015389I","MINOR","PERSONAL"
"37020","20030521009469I","MINOR","PERSONAL"
"37021","20031104028349I","MINOR","AIR TAXI"
"37022","20040907023759I","MINOR","PERSONAL"
"37023","20041019031639I","MINOR","PERSONAL"
"37024","20051004032549I","MINOR","PERSONAL"
"37025","20050614013139I","MINOR","PERSONAL"
"37026","19990816026419I","MINOR","AIR TAXI"
"37027","19890118008609I","MINOR","AIR TAXI"
"37028","19981008041539I","MINOR","PERSONAL"
"37029","20070425011469I","MINOR","PERSONAL"
"37030","20010724024949I","MINOR","PERSONAL"
"37031","19980911036869I","MINOR","AIR TAXI"
"37032","20020115006549I","MINOR","AIR TAXI"
"37033","19980623035319I","MINOR","PERSONAL"
"37034","20070727019809I","MINOR","PERSONAL"
"37035","19900121003399I","MINOR","PERSONAL"
"37036","19920112002569I","MINOR","PERSONAL"
"37037","20030104006699I","MINOR","PERSONAL"
"37038","20070418011489I","MINOR","AIR TAXI"
"37039","20010113000849I","MINOR","PERSONAL"
"37040","20000301001339I","MINOR","PERSONAL"
"37041","19891016056639I","MINOR","BUSINESS"
"37042","20020525012499I","MINOR","PERSONAL"
"37043","19920918040719I","MINOR","PERSONAL"
"37044","19961101038849I","MINOR","AIR TAXI"
"37045","19890225017199I","MINOR","AIR TAXI"
"37046","19990615022479I","MINOR","PERSONAL"
"37047","19920218011859I","MINOR","PERSONAL"
"37048","19890412029049I","MINOR","PERSONAL"
"37049","19890423051089I","MINOR","PERSONAL"
"37050","19890607053419I","MINOR","BUSINESS"
"37051","19900425027289I","MINOR","PERSONAL"
"37052","19910315009579I","MINOR","AIR TAXI"
"37053","19930903043059I","MINOR","AIR TAXI"
"37054","19940801030469I","MINOR","PERSONAL"
"37055","19950213004259I","MINOR","AIR TAXI"
"37056","19961011032039I","MINOR","BUSINESS"
"37057","19961031038569I","MINOR","PERSONAL"
"37058","19980130005209I","MINOR","AIR TAXI"
"37059","19980612024619I","MINOR","SCHEDULED AIR CARRIER"
"37060","19980823021489I","MINOR","PERSONAL"
"37061","20010623016679I","MINOR","PERSONAL"
"37062","20020131000809I","MINOR","PERSONAL"
"37063","20020824022939I","MINOR","PERSONAL"
"37064","20030310006219I","MINOR","PERSONAL"
"37065","20030701014499I","MINOR","PERSONAL"
"37066","20041122030179I","MINOR","PERSONAL"
"37067","20050531013299I","MINOR","PERSONAL"
"37068","20060119001759I","MINOR","PERSONAL"
"37069","20070418008789I","MINOR","PERSONAL"
"37070","20071127828239I","MINOR","AIR TAXI"
"37071","19951128045119I","MINOR","AIR TAXI"
"37072","19930427016319I","MINOR","SCHEDULED AIR CARRIER"
"37073","20070630015739I","MINOR","PERSONAL"
"37074","19900125013699I","MINOR","AIR TAXI"
"37075","19961008045849I","SUBSTANTIAL","PERSONAL"
"37076","20020714016289I","MINOR","PERSONAL"
"37077","19960505015209I","MINOR","PERSONAL"
"37078","20070110000409I","MINOR","PERSONAL"
"37079","20000712024949I","MINOR","AIR TAXI"
"37080","20061219030419I","MINOR","AIR TAXI"
"37081","19921223054179I","MINOR","AIR TAXI"
"37082","19930214008709I","MINOR","AIR TAXI"
"37083","19940522027649I","MINOR","PERSONAL"
"37084","19891004054619I","MINOR","PERSONAL"
"37085","20040331005929I","MINOR","PERSONAL"
"37086","19911127059889I","MINOR","AIR TAXI"
"37087","20050312003999I","MINOR","PERSONAL"
"37088","19901012058209I","MINOR","BUSINESS"
"37089","20060227010679I","MINOR","PERSONAL"
"37090","19890111007159I","MINOR","AIR TAXI"
"37091","19900708037189I","MINOR","BUSINESS"
"37092","19910403016309I","MINOR","PERSONAL"
"37093","19890225015389I","MINOR","PERSONAL"
"37094","19900313012299I","MINOR","AIR TAXI"
"37095","19900405024199I","MINOR","PERSONAL"
"37096","19900612032069I","MINOR","PERSONAL"
"37097","19900807041399I","MINOR","AIR TAXI"
"37098","19901017058539I","MINOR","BUSINESS"
"37099","19901029055919I","MINOR","AIR TAXI"
"37100","19901105058689I","MINOR","AIR TAXI"
"37101","19901127057109I","MINOR","AIR TAXI"
"37102","19910322013119I","MINOR","AIR TAXI"
"37103","19910809040779I","MINOR","PERSONAL"
"37104","19910912046399I","MINOR","BUSINESS"
"37105","19920310012799I","MINOR","AIR TAXI"
"37106","19920625035779I","MINOR","PERSONAL"
"37107","19920828037349I","MINOR","AIR TAXI"
"37108","19920918037699I","MINOR","PERSONAL"
"37109","19930224007699I","MINOR","PERSONAL"
"37110","19930301007279I","MINOR","PERSONAL"
"37111","19930323010009I","MINOR","AIR TAXI"
"37112","19930707026339I","MINOR","PERSONAL"
"37113","19940802034069I","MINOR","AIR TAXI"
"37114","19950418012639I","MINOR","AIR TAXI"
"37115","19950429013509I","MINOR","PERSONAL"
"37116","19950502014609I","MINOR","AIR TAXI"
"37117","19950908039369I","MINOR","AIR TAXI"
"37118","19960324009879I","MINOR","PERSONAL"
"37119","19960821029029I","MINOR","PERSONAL"
"37120","19980621024659I","MINOR","PERSONAL"
"37121","19990202017819I","MINOR","PERSONAL"
"37122","20010420008739I","MINOR","PERSONAL"
"37123","20010920032859I","MINOR","PERSONAL"
"37124","20020410010789I","MINOR","PERSONAL"
"37125","20020530017069I","SUBSTANTIAL","PERSONAL"
"37126","20020630014949I","MINOR","PERSONAL"
"37127","20021024036459I","MINOR","AIR TAXI"
"37128","20021126032039I","MINOR","PERSONAL"
"37129","20030701021269I","MINOR","PERSONAL"
"37130","20030714018049I","MINOR","PERSONAL"
"37131","20030729018539I","MINOR","PERSONAL"
"37132","20040808015459I","MINOR","PERSONAL"
"37133","20041021028109I","MINOR","PERSONAL"
"37134","20050809018059I","MINOR","AIR TAXI"
"37135","20051018026709I","MINOR","PERSONAL"
"37136","20060810016209I","MINOR","PERSONAL"
"37137","20061118029869I","MINOR","PERSONAL"
"37138","19891108057839I","MINOR","AIR TAXI"
"37139","20031127034749I","MINOR","AIR TAXI"
"37140","20040307010679I","MINOR","PERSONAL"
"37141","20050524011689I","MINOR","AIR TAXI"
"37142","19970124002899I","MINOR","BUSINESS"
"37143","19890403020599I","MINOR","PERSONAL"
"37144","20020905022679I","MINOR","PERSONAL"
"37145","19910521038349I","MINOR","PERSONAL"
"37146","19900815048689I","MINOR","PERSONAL"
"37147","19910822044659I","MINOR","AIR TAXI"
"37148","19950111002429I","MINOR","AIR TAXI"
"37149","20011127032939I","MINOR","AIR TAXI"
"37150","19960504024739I","MINOR","PERSONAL"
"37151","20061107028419I","SUBSTANTIAL","AIR TAXI"
"37152","20070909824489I","MINOR","AIR TAXI"
"37153","19910301008589I","MINOR","AIR TAXI"
"37154","19930917040019I","MINOR","PERSONAL"
"37155","19991229036089I","MINOR","PERSONAL"
"37156","19890806047759I","MINOR","PERSONAL"
"37157","19910503024009I","MINOR","PERSONAL"
"37158","19931109048029I","MINOR","BUSINESS"
"37159","19931224050519I","MINOR","AIR TAXI"
"37160","19940717047209I","MINOR","SCHEDULED AIR CARRIER"
"37161","19940719030829I","MINOR","PERSONAL"
"37162","19940812043859I","MINOR","AIR TAXI"
"37163","19950525021349I","MINOR","PERSONAL"
"37164","19970324007039I","MINOR","PERSONAL"
"37165","19970408005229I","MINOR","PERSONAL"
"37166","19980418009819I","SUBSTANTIAL","PERSONAL"
"37167","19990928028189I","MINOR","AIR TAXI"
"37168","20010813021919I","MINOR","AIR TAXI"
"37169","20010828022449I","MINOR","PERSONAL"
"37170","20010831024279I","MINOR","PERSONAL"
"37171","20020908036829I","MINOR","PERSONAL"
"37172","20040825021359I","MINOR","AIR TAXI"
"37173","20041119029409I","MINOR","PERSONAL"
"37174","20050319022999I","MINOR","PERSONAL"
"37175","20060401003739I","MINOR","PERSONAL"
"37176","20060518013259I","MINOR","AIR TAXI"
"37177","19940401009919I","MINOR","AIR TAXI"
"37178","19930926041999I","MINOR","BUSINESS"
"37179","19960621025539I","MINOR","AIR TAXI"
"37180","19990412037859I","MINOR","PERSONAL"
"37181","20030210007549I","MINOR","PERSONAL"
"37182","20010610013039I","MINOR","AIR TAXI"
"37183","19901117058619I","MINOR","AIR TAXI"
"37184","19900222012399I","MINOR","PERSONAL"
"37185","19931221051499I","MINOR","AIR TAXI"
"37186","19940515028709I","MINOR","PERSONAL"
"37187","19971231043139I","MINOR","PERSONAL"
"37188","20031122035989I","MINOR","PERSONAL"
"37189","19990402021019I","MINOR","PERSONAL"
"37190","20031130030669I","MINOR","PERSONAL"
"37191","19960109004169I","MINOR","AIR TAXI"
"37192","19921114053949I","MINOR","PERSONAL"
"37193","20010129004399I","MINOR","PERSONAL"
"37194","19940624023449I","MINOR","PERSONAL"
"37195","19990729024359I","MINOR","PERSONAL"
"37196","19930220002889I","MINOR","AIR TAXI"
"37197","20040621019989I","MINOR","PERSONAL"
"37198","19890309030809I","MINOR","SCHEDULED AIR CARRIER"
"37199","19890313029749I","MINOR","BUSINESS"
"37200","19890315003879I","MINOR","AIR TAXI"
"37201","19890422022159I","MINOR","PERSONAL"
"37202","19890601037719I","MINOR","SCHEDULED AIR CARRIER"
"37203","19890716044099I","MINOR","PERSONAL"
"37204","19890806050989I","MINOR","PERSONAL"
"37205","19890830050529I","MINOR","AIR TAXI"
"37206","19891006055659I","MINOR","BUSINESS"
"37207","19891111063839I","MINOR","PERSONAL"
"37208","19891129059709I","MINOR","PERSONAL"
"37209","19891218064799I","MINOR","AIR TAXI"
"37210","19891224052909I","MINOR","PERSONAL"
"37211","19900206006739I","MINOR","PERSONAL"
"37212","19900228014519I","MINOR","PERSONAL"
"37213","19900304009299I","MINOR","PERSONAL"
"37214","19900330035269I","MINOR","PERSONAL"
"37215","19900331016239I","MINOR","PERSONAL"
"37216","19900418015459I","MINOR","PERSONAL"
"37217","19900522028499I","MINOR","PERSONAL"
"37218","19900713035029I","MINOR","BUSINESS"
"37219","19900803042139I","MINOR","BUSINESS"
"37220","19900804040619I","MINOR","PERSONAL"
"37221","19900830043039I","MINOR","PERSONAL"
"37222","19900908059429I","MINOR","PERSONAL"
"37223","19900925053019I","MINOR","BUSINESS"
"37224","19900926050789I","MINOR","BUSINESS"
"37225","19901027047239I","MINOR","PERSONAL"
"37226","19901029047319I","MINOR","PERSONAL"
"37227","19901106058349I","MINOR","SCHEDULED AIR CARRIER"
"37228","19901121061589I","MINOR","AIR TAXI"
"37229","19901217064599I","MINOR","PERSONAL"
"37230","19910123006839I","MINOR","PERSONAL"
"37231","19910212002259I","MINOR","PERSONAL"
"37232","19910303015189I","MINOR","PERSONAL"
"37233","19910308009399I","MINOR","PERSONAL"
"37234","19910312008409I","SUBSTANTIAL","PERSONAL"
"37235","19910312015119I","MINOR","PERSONAL"
"37236","19910413030769I","MINOR","PERSONAL"
"37237","19910517016379I","MINOR","PERSONAL"
"37238","19910525021619I","MINOR","PERSONAL"
"37239","19910627035989I","MINOR","PERSONAL"
"37240","19910703025839I","MINOR","AIR TAXI"
"37241","19910705036149I","MINOR","BUSINESS"
"37242","19910713040879I","MINOR","PERSONAL"
"37243","19910715038579I","MINOR","PERSONAL"
"37244","19910823046659I","MINOR","PERSONAL"
"37245","19910825042719I","MINOR","PERSONAL"
"37246","19910906038779I","MINOR","PERSONAL"
"37247","19910913049759I","MINOR","BUSINESS"
"37248","19910920061759I","MINOR","AIR TAXI"
"37249","19910926050309I","MINOR","PERSONAL"
"37250","19911020052369I","MINOR","PERSONAL"
"37251","19911114054719I","MINOR","PERSONAL"
"37252","19920130006059I","NONE","PERSONAL"
"37253","19920305008449I","MINOR","AIR TAXI"
"37254","19920323011369I","MINOR","PERSONAL"
"37255","19920515020989I","MINOR","AIR TAXI"
"37256","19920605022279I","MINOR","AIR TAXI"
"37257","19920624031839I","MINOR","SCHEDULED AIR CARRIER"
"37258","19920714039059I","MINOR","PERSONAL"
"37259","19920728033349I","MINOR","AIR TAXI"
"37260","19920811034029I","MINOR","BUSINESS"
"37261","19920826037199I","MINOR","BUSINESS"
"37262","19920907042879I","MINOR","PERSONAL"
"37263","19920921041829I","MINOR","AIR TAXI"
"37264","19920928041769I","MINOR","PERSONAL"
"37265","19921008046029I","MINOR","PERSONAL"
"37266","19921013046959I","MINOR","PERSONAL"
"37267","19921203056729I","MINOR","PERSONAL"
"37268","19921211049929I","MINOR","PERSONAL"
"37269","19930308023949I","MINOR","AIR TAXI"
"37270","19930329021449I","MINOR","PERSONAL"
"37271","19930407015899I","MINOR","PERSONAL"
"37272","19930415012949I","MINOR","PERSONAL"
"37273","19930416016769I","MINOR","BUSINESS"
"37274","19930428016579I","MINOR","AIR TAXI"
"37275","19930518020269I","MINOR","AIR TAXI"
"37276","19930627046619I","MINOR","PERSONAL"
"37277","19930707032109I","MINOR","PERSONAL"
"37278","19930726038189I","MINOR","PERSONAL"
"37279","19930809035869I","MINOR","BUSINESS"
"37280","19930904048359I","MINOR","PERSONAL"
"37281","19930910033849I","MINOR","PERSONAL"
"37282","19931002046299I","MINOR","PERSONAL"
"37283","19931218051109I","MINOR","PERSONAL"
"37284","19940203009399I","MINOR","PERSONAL"
"37285","19940205004479I","MINOR","PERSONAL"
"37286","19940225005149I","MINOR","AIR TAXI"
"37287","19940225005259I","MINOR","AIR TAXI"
"37288","19940304009799I","MINOR","BUSINESS"
"37289","19940317048009I","MINOR","AIR TAXI"
"37290","19940325000669I","MINOR","PERSONAL"
"37291","19940325000849I","MINOR","PERSONAL"
"37292","19940507026269I","MINOR","PERSONAL"
"37293","19940519012059I","SUBSTANTIAL","PERSONAL"
"37294","19940526031279I","MINOR","BUSINESS"
"37295","19940613023389I","MINOR","PERSONAL"
"37296","19940718030309I","MINOR","BUSINESS"
"37297","19940729019739I","MINOR","PERSONAL"
"37298","19940828048339I","MINOR","PERSONAL"
"37299","19941022045889I","MINOR","PERSONAL"
"37300","19941110042439I","MINOR","BUSINESS"
"37301","19941203048699I","MINOR","BUSINESS"
"37302","19941224046829I","MINOR","PERSONAL"
"37303","19950202010719I","MINOR","PERSONAL"
"37304","19950217004809I","SUBSTANTIAL","PERSONAL"
"37305","19950314007679I","MINOR","PERSONAL"
"37306","19950410011349I","MINOR","AIR TAXI"
"37307","19950612023539I","MINOR","PERSONAL"
"37308","19950622024419I","MINOR","BUSINESS"
"37309","19950701023509I","MINOR","PERSONAL"
"37310","19950706020969I","MINOR","PERSONAL"
"37311","19950727038839I","MINOR","PERSONAL"
"37312","19950731041359I","MINOR","PERSONAL"
"37313","19950824025329I","MINOR","PERSONAL"
"37314","19950909028319I","MINOR","PERSONAL"
"37315","19951002038189I","MINOR","PERSONAL"
"37316","19951201043919I","MINOR","AIR TAXI"
"37317","19960101001159I","MINOR","PERSONAL"
"37318","19960116003109I","MINOR","PERSONAL"
"37319","19960326010039I","MINOR","PERSONAL"
"37320","19960331009689I","MINOR","PERSONAL"
"37321","19960413011329I","MINOR","PERSONAL"
"37322","19960518037419I","MINOR","PERSONAL"
"37323","19960628030109I","MINOR","PERSONAL"
"37324","19960720040849I","MINOR","PERSONAL"
"37325","19960815022709I","MINOR","PERSONAL"
"37326","19960912040359I","MINOR","PERSONAL"
"37327","19960920040579I","MINOR","PERSONAL"
"37328","19961006037789I","MINOR","PERSONAL"
"37329","19961105045889I","MINOR","PERSONAL"
"37330","19961125044929I","MINOR","AIR TAXI"
"37331","19970110009169I","MINOR","PERSONAL"
"37332","19970114002299I","MINOR","PERSONAL"
"37333","19970205033609I","MINOR","PERSONAL"
"37334","19970708023859I","MINOR","PERSONAL"
"37335","19970902024999I","MINOR","PERSONAL"
"37336","19971017033949I","MINOR","PERSONAL"
"37337","19971212043069I","MINOR","BUSINESS"
"37338","19971219040479I","MINOR","PERSONAL"
"37339","19980224005609I","MINOR","PERSONAL"
"37340","19980508020519I","MINOR","PERSONAL"
"37341","19980720016189I","SUBSTANTIAL","AIR TAXI"
"37342","19980815038729I","MINOR","PERSONAL"
"37343","19981120039569I","MINOR","PERSONAL"
"37344","19981223041879I","MINOR","AIR TAXI"
"37345","19990211011299I","MINOR","PERSONAL"
"37346","19990416019889I","MINOR","PERSONAL"
"37347","19990611006979I","MINOR","PERSONAL"
"37348","19990913027419I","MINOR","PERSONAL"
"37349","19990921031619I","MINOR","PERSONAL"
"37350","19990929033359I","MINOR","PERSONAL"
"37351","19991117035169I","MINOR","PERSONAL"
"37352","19991122033559I","MINOR","SCHEDULED AIR CARRIER"
"37353","20000609017679I","MINOR","SCHEDULED AIR CARRIER"
"37354","20000726028159I","MINOR","PERSONAL"
"37355","20000824023979I","MINOR","PERSONAL"
"37356","20000902029779I","MINOR","PERSONAL"
"37357","20000929030129I","MINOR","PERSONAL"
"37358","20001014031559I","MINOR","PERSONAL"
"37359","20001028018759I","MINOR","PERSONAL"
"37360","20010201000679I","MINOR","PERSONAL"
"37361","20010208002539I","MINOR","PERSONAL"
"37362","20010219003279I","MINOR","PERSONAL"
"37363","20010301008439I","MINOR","PERSONAL"
"37364","20010429010249I","MINOR","PERSONAL"
"37365","20010510009649I","MINOR","PERSONAL"
"37366","20010525010299I","MINOR","PERSONAL"
"37367","20010621016699I","MINOR","PERSONAL"
"37368","20010729021619I","MINOR","AIR TAXI"
"37369","20010903026789I","MINOR","PERSONAL"
"37370","20011025031259I","MINOR","PERSONAL"
"37371","20020108002559I","MINOR","PERSONAL"
"37372","20020219003409I","MINOR","PERSONAL"
"37373","20020302005679I","MINOR","PERSONAL"
"37374","20020316004969I","MINOR","PERSONAL"
"37375","20020425009819I","MINOR","PERSONAL"
"37376","20020702019609I","MINOR","PERSONAL"
"37377","20020728037179I","SUBSTANTIAL","PERSONAL"
"37378","20020828026149I","MINOR","PERSONAL"
"37379","20020830026299I","MINOR","PERSONAL"
"37380","20021106034829I","MINOR","PERSONAL"
"37381","20021108033019I","MINOR","PERSONAL"
"37382","20030203001029I","SUBSTANTIAL","PERSONAL"
"37383","20030602015559I","MINOR","PERSONAL"
"37384","20030619012039I","MINOR","PERSONAL"
"37385","20030705013639I","MINOR","PERSONAL"
"37386","20030817032589I","MINOR","PERSONAL"
"37387","20030911022999I","MINOR","PERSONAL"
"37388","20031204034189I","MINOR","PERSONAL"
"37389","20040215002159I","MINOR","PERSONAL"
"37390","20040329008049I","MINOR","PERSONAL"
"37391","20040411004829I","MINOR","PERSONAL"
"37392","20040506008419I","MINOR","PERSONAL"
"37393","20040518026209I","MINOR","PERSONAL"
"37394","20040609010449I","MINOR","PERSONAL"
"37395","20040709015369I","MINOR","PERSONAL"
"37396","20040801022809I","MINOR","PERSONAL"
"37397","20040816018589I","MINOR","PERSONAL"
"37398","20040927028539I","MINOR","PERSONAL"
"37399","20041002029019I","MINOR","PERSONAL"
"37400","20041128032829I","MINOR","PERSONAL"
"37401","20041202031459I","MINOR","PERSONAL"
"37402","20041214034679I","MINOR","PERSONAL"
"37403","20050107000539I","MINOR","PERSONAL"
"37404","20050129002089I","MINOR","PERSONAL"
"37405","20050524013439I","MINOR","AIR TAXI"
"37406","20050630028319I","MINOR","AIR TAXI"
"37407","20050725021929I","MINOR","PERSONAL"
"37408","20050820018459I","MINOR","PERSONAL"
"37409","20050823030979I","MINOR","PERSONAL"
"37410","20051020026229I","MINOR","PERSONAL"
"37411","20060221002919I","MINOR","PERSONAL"
"37412","20060317005759I","MINOR","PERSONAL"
"37413","20060504011559I","MINOR","AIR TAXI"
